date,month,artist_id,artist_name,song_name,radio_station,region
2024-08-17,August,2.0,Ed Sheeran,Thinking Out Loud,Gold,ROW
2024-08-20,August,5.0,Billie Eilish,Ocean Eyes,Heart,ROW
2024-08-08,August,17.0,Lorde,Solar Power,Heart,US
2024-08-16,August,15.0,Coldplay,Yellow,Capital,UK
2024-08-23,August,9.0,Ariana Grande,No Tears Left To Cry,Heart,UK
2024-08-26,August,12.0,Shawn Mendes,Treat You Better,Heart,ROW
2024-08-29,August,19.0,SZA,Love Galore,Heart,ROW
2024-08-11,August,1.0,Taylor Swift,Love Story,Capital,US
2024-08-11,August,19.0,SZA,The Weekend,Heart,UK
2024-08-14,August,16.0,Zara Larsson,Lush Life,Capital,ROW
2024-08-14,August,16.0,Zara Larsson,Lush Life,Capital,ROW
2024-08-29,August,10.0,Post Malone,Rockstar,Smooth,US
2024-08-19,August,3.0,Adele,Rolling in the Deep,Gold,ROW
2024-08-31,August,11.0,Imagine Dragons,Thunder,Classic_FM,US
2024-08-14,August,10.0,Post Malone,Rockstar,Gold,US
,,,,,,
2024-08-09,August,20.0,Demi Lovato,Cool for the Summer,Heart,ROW
2024-08-09,August,20.0,Demi Lovato,Cool for the Summer,Heart,ROW
2024-08-04,August,11.0,Imagine Dragons,Radioactive,Heart,UK
2024-08-04,August,11.0,Imagine Dragons,Radioactive,Heart,UK
2024-08-23,August,19.0,SZA,The Weekend,Classic_FM,US
2024-08-07,August,9.0,Ariana Grande,"Thank U, Next",Capital,ROW
2024-08-01,August,16.0,Zara Larsson,Ruin My Life,Heart,US
,,,,,,
2024-08-23,August,6.0,The Weeknd,Starboy,Heart,UK
2024-08-20,August,14.0,Katy Perry,Roar,Gold,UK
2024-08-21,August,7.0,Dua Lipa,Levitating,Capital,US
2024-08-12,August,18.0,Rosalia,Pienso En Tu Mirá,Smooth,UK
2024-08-12,August,18.0,Rosalia,Pienso En Tu Mirá,Smooth,UK
2024-08-18,August,14.0,Katy Perry,Firework,Capital,US
2024-08-06,August,2.0,Ed Sheeran,Perfect,Gold,UK
2024-08-06,August,2.0,Ed Sheeran,Perfect,Gold,UK
2024-08-09,August,18.0,Rosalia,Con Altura,Gold,UK
2024-08-10,August,7.0,Dua Lipa,Don't Start Now,Heart,US
2024-08-24,August,20.0,Demi Lovato,Cool for the Summer,Capital,UK
2024-08-19,August,2.0,Ed Sheeran,Shape of You,Capital,ROW
2024-08-24,August,1.0,Taylor Swift,Shake It Off,Capital,ROW
2024-08-15,August,18.0,Rosalia,Con Altura,Gold,ROW
2024-08-26,August,4.0,Drake,Hotline Bling,Smooth,UK
2024-08-04,August,10.0,Post Malone,Circles,Classic_FM,UK
2024-08-04,August,10.0,Post Malone,Circles,Classic_FM,UK
2024-08-11,August,17.0,Lorde,Green Light,Heart,ROW
2024-08-07,August,12.0,Shawn Mendes,Stitches,Smooth,ROW
2024-08-07,August,12.0,Shawn Mendes,In My Blood,Gold,UK
2024-08-07,August,12.0,Shawn Mendes,In My Blood,Gold,UK
,,,,,,
2024-08-09,August,19.0,SZA,Love Galore,Capital,UK
